num_vehicles,5
num_vehicles_max,5
num_vehicles_step,1
capacity,15
capacity_max,15
capacity_step,1
graph_size,50
graph_size_max,300
graph_size_step,50
graph_variations,5
trials_per_graph,5
stop_duration,40
load_duration,15
timeout,60
ordered_nbhs,"[<function intra_two_opt at 0x00000129A8480790>, <function intra_segment_swap at 0x00000129A8480EE0>, <function inter_two_opt at 0x00000129A8480D30>, <function inter_segment_swap at 0x00000129A8480F70>, <function multi_remove_and_insert_station at 0x00000129A848B700>]"
nbh_change_set,"[<function change_nbh_cyclic at 0x00000129A848B940>, <function change_nbh_pipe at 0x00000129A848B9D0>, <function change_nbh_sequential at 0x00000129A848B8B0>, <function change_nbh_check_all at 0x00000129A848BA60>]"
large_nbhs,"[0.1, 0.15, 0.2, 0.3]"
large_timeout,200
graph_size,graph_instance,num_vehicles,capacity,trial,greedy_cost,vns_cyclic_cost,vns_cyclic_time,vns_pipe_cost,vns_pipe_time,vns_seq_cost,vns_seq_time,vns_all_cost,vns_all_time
250,1,5,15,1,150046,117056,11.412,116807,17.638,120336,9.036,119603,23.374
250,1,5,15,2,146635,125526,6.24,121741,6.069,125426,9.066,121922,20.07
250,1,5,15,3,150927,122022,8.618,118855,12.018,122564,12.317,120923,26.876
250,1,5,15,4,147852,122981,7.443,124203,8.265,121613,9.531,120997,27.716
250,2,5,15,0,146171,123658,6.639,123285,7.784,117110,15.722,116933,40.987
250,2,5,15,1,145478,114535,7.666,114415,11.263,114094,15.446,122664,18.165
250,2,5,15,2,143137,116689,12.384,118726,5.663,117380,10.03,116196,42.93
250,2,5,15,3,147705,115832,9.654,119154,7.331,120414,11.669,114780,42.023
250,2,5,15,4,141300,125540,4.114,122912,6.669,128227,3.832,118920,31.004
250,3,5,15,0,163041,127785,11.199,134450,12.339,128278,14.689,136015,33.111
250,3,5,15,1,162814,141648,4.566,125846,10.934,135215,9.722,129087,34.505
250,3,5,15,2,162897,126656,14.044,137427,3.814,143963,6.089,130635,37.303
250,3,5,15,3,156211,137515,3.263,132070,5.489,131288,9.23,129141,29.011
250,3,5,15,4,159141,134336,5.022,131342,5.43,128799,9.431,128940,25.621
250,4,5,15,0,163408,133355,9.908,132741,5.504,132488,6.458,137112,18.935
250,4,5,15,1,167104,135980,6.036,144337,5.109,135892,10.293,142355,16.191
250,4,5,15,2,167611,137081,8.165,133606,10.305,135367,13.202,135752,25.718
250,4,5,15,3,168898,131452,12.51,141106,6.929,144956,5.892,143649,23.076
250,4,5,15,4,171609,142000,5.352,137562,5.205,133068,12.698,134456,26.058
300,0,5,15,0,177503,153969,6.198,147015,15.917,154516,8.632,149940,24.58
300,0,5,15,1,180099,140680,12.583,153822,11.405,153082,9.762,144741,33.797
300,0,5,15,2,176066,143411,17.837,141408,14.5,151958,11.487,143108,43.436
300,0,5,15,3,175666,148644,10.891,147310,18.298,154680,13.045,148102,58.43
300,0,5,15,4,172793,144099,10.375,146722,10.832,148568,10.561,143973,32.76
300,1,5,15,0,179361,148362,10.393,153910,6.442,153314,10.314,150673,32.328
300,1,5,15,1,169539,150308,4.978,149160,7.261,145117,7.841,158386,11.773
300,1,5,15,2,171533,154380,7.723,147506,9.925,151719,8.837,148888,49.911
300,1,5,15,3,176440,147066,11.442,145119,11.144,143641,18.255,144477,37.442
300,1,5,15,4,178028,149067,7.584,146589,14.966,153682,10.036,153353,40.127
300,2,5,15,0,179674,161353,5.242,155515,12.786,148573,13.39,146020,48.523
300,2,5,15,1,177205,146540,16.405,151347,12.79,152659,12.815,154291,35.367
300,2,5,15,2,180249,157816,8.681,143319,19.231,151211,19.956,142794,49.697
300,2,5,15,3,180358,152655,6.467,159974,7.246,160111,6.434,151002,30.087
300,2,5,15,4,177344,153379,7.168,155254,13.313,147046,20.404,154468,20.625
300,3,5,15,0,179347,163090,3.648,143575,23.65,155352,12.244,157667,36.089
300,3,5,15,1,176780,148754,10.429,158039,7.345,158308,7.185,150071,23.405
300,3,5,15,2,181043,146854,9.909,146499,12.725,152302,13.276,149763,39.252
300,3,5,15,3,184659,145824,16.221,152767,10.408,150639,16.959,148944,40.857
300,3,5,15,4,184798,144725,16.685,146428,19.587,152386,13.279,150814,49.146
300,4,5,15,0,189234,157982,15.122,164544,7.677,164531,12.196,155249,54.759
300,4,5,15,1,191382,153152,14.544,148672,17.337,154169,15.921,160497,24.649
300,4,5,15,2,185507,155850,8.516,149934,20.237,154616,16.888,163192,23.663
300,4,5,15,3,187518,151608,21.63,154791,10.754,154271,16.932,152081,44.293
300,4,5,15,4,192530,159017,10.4,160941,8.742,156681,13.938,155774,36.646
