num_vehicles,5
num_vehicles_max,5
num_vehicles_step,1
capacity,15
capacity_max,15
capacity_step,1
graph_size,50
graph_size_max,350
graph_size_step,50
graph_variations,5
trials_per_graph,5
stop_duration,0
load_duration,0
timeout,60
ordered_nbhs,"[<function intra_two_opt at 0x0000024FE24EE670>, <function intra_segment_swap at 0x0000024FE24EEDC0>, <function inter_segment_swap at 0x0000024FE24EEE50>, <function inter_two_opt at 0x0000024FE24EEC10>]"
nbh_change_set,"[<function change_nbh_cyclic at 0x0000024FE24F9820>, <function change_nbh_pipe at 0x0000024FE24F98B0>, <function change_nbh_sequential at 0x0000024FE24F9790>, <function change_nbh_check_all at 0x0000024FE24F9940>]"
large_nbhs,"[0.1, 0.15, 0.2, 0.3]"
large_timeout,200
graph_size,graph_instance,num_vehicles,capacity,trial,greedy_cost,vns_cyclic_cost,vns_cyclic_time,vns_pipe_cost,vns_pipe_time,vns_seq_cost,vns_seq_time,vns_all_cost,vns_all_time
250,0,5,15,0,105066,78673,6.684,77585,11.033,76817,25.916,75636,22.587
250,0,5,15,1,102591,78797,5.246,75277,17.3,77047,17.132,77112,26.129
250,0,5,15,2,103158,77085,7.305,77716,10.688,77353,23.757,75183,19.875
250,0,5,15,3,107085,76101,11.441,76196,14.238,76590,22.34,75908,27.247
250,0,5,15,4,107163,78460,8.328,76392,17.587,76624,25.601,74654,31.093
250,1,5,15,0,113752,77307,9.038,77413,17.361,79365,23.166,77309,22.533
250,1,5,15,1,111242,77644,8.851,78001,15.494,81207,18.28,80724,14.154
250,1,5,15,2,107601,78541,6.697,78142,13.339,78436,21.585,77133,22.34
250,1,5,15,3,110913,78070,8.401,76770,14.549,77354,29.182,76597,23.089
250,1,5,15,4,109786,77070,7.994,77402,14.141,78148,21.576,77935,18.773
250,2,5,15,0,103055,78054,6.163,76240,8.359,75699,20.356,77335,19.297
250,2,5,15,1,104591,76827,6.458,76989,13.782,79446,17.01,76196,25.772
250,2,5,15,2,105698,77293,6.265,79832,8.796,75406,28.975,77067,21.116
250,2,5,15,3,110713,75784,9.335,78447,14.069,75878,34.655,75569,20.047
